task_id,source_issue_id,workstream,priority,release_gate,task_type,scope_class,applies_to_17234f7,added_in_reconciliation,task_title,problem_rationale,required_implementation,acceptance_criteria,evidence_anchor,evidence_url,owner_role,phase,effort,dependencies,uat_case_ids,status,progress_pct,target_sprint,due_date,origin,notes_decision
IMP-007,IMP-007,Sequence / Folder Drop,P2,Conditional,Import / Reliability,Compatibility risk,Yes,No,"Provide feature detection, fallback input picker, and explicit unsupported-browser guidance","Folder traversal relies on nonstandard webkitGetAsEntry without a tested standards-based fallback. Behavior can differ across Chromium, Firefox, and future browser versions.","Provide feature detection, fallback input picker, and explicit unsupported-browser guidance.",Supported-browser matrix has passing folder and multi-file import cases.,SequenceEditorWorkspace folder traversal API,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,M,IMP-018,UAT-DROP-015,Not Started,0,,,Existing 74-item source audit,
IMP-009,IMP-009,Sequence / Folder Drop,P2,Conditional,Import / Reliability,Confirmed metadata loss,Yes,No,Preserve normalized relativePath and optionally mirror bins/folders,"Relative folder hierarchy is discarded. Production organization, scene/take grouping, and provenance are lost.",Preserve normalized relativePath and optionally mirror bins/folders.,Nested folder structure is recoverable from imported metadata.,Import payload stores flattened file metadata,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,M,IMP-003,UAT-DROP-012,Not Started,0,,,Existing 74-item source audit,
IMP-010,IMP-010,Sequence / Folder Drop,P2,Conditional,Import / Reliability,Confirmed missing duplicate policy,Yes,No,"Preflight duplicates and offer skip, link existing, or copy",Repeated drops create new copies without hash/size/path duplicate detection. Disk and bins balloon; users cannot tell which duplicate is canonical.,"Preflight duplicates and offer skip, link existing, or copy.",Re-dropping an identical folder produces a clear duplicate decision rather than silent copies.,Import server copy behavior and client messaging,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,M,IMP-003,UAT-DROP-008,Not Started,0,,,Existing 74-item source audit,
IMP-011,IMP-011,Sequence / Folder Drop,P2,Conditional,Import / Reliability,Confirmed context disruption,Yes,No,Preserve context and offer 'Show imported',Import resets media-tab/filter context to All. Users lose their segment/take review context after every drop.,Preserve context and offer 'Show imported'.,Import does not change the active filter unless the user chooses to reveal new assets.,import completion state updates,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,M,,UAT-DROP-013,Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Import no longer resets take filter
IMP-013,IMP-013,Sequence / Folder Drop,P2,Conditional,Import / Reliability,High-confidence concurrency risk,Yes,No,Use document revision checks or a serialized/atomic update,Concurrent import requests update shared document import metadata without an evident revision/lock transaction. Two simultaneous imports can overwrite each other's document metadata.,Use document revision checks or a serialized/atomic update.,Parallel imports preserve all entries with no lost updates.,server import document read/modify/write flow,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,L,IMP-003,UAT-DROP-010,Not Started,0,,,Existing 74-item source audit,
IMP-014,IMP-014,Sequence / Folder Drop,P2,Conditional,Import / Reliability,High-confidence collision risk,Yes,No,Use UUID/content hash or atomic exclusive creation for every media class,Audio destination naming uses timestamp-based naming without the same collision loop used for video. Same-name audio uploads in a narrow time window can overwrite.,Use UUID/content hash or atomic exclusive creation for every media class.,"1,000 concurrent same-name audio imports yield 1,000 distinct files.",server import naming logic,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,M,IMP-003,UAT-DROP-009,Not Started,0,,,Existing 74-item source audit,
IMP-020,IMP-020,Sequence / Folder Drop,P2,Conditional,Reliability,Confirmed missing preflight control,Yes,Yes,"Add a scan/preflight endpoint and UI that reports eligible, rejected, duplicate, count, total bytes, deepest path, and quota impact before committing large jobs","The import flow has no aggregate count, total-byte, directory-depth, filename/path-length, or project-quota preflight before uploads begin. Accidental huge drops can consume time, memory, and disk before the user understands the operation.","Add a scan/preflight endpoint and UI that reports eligible, rejected, duplicate, count, total bytes, deepest path, and quota impact before committing large jobs.",Threshold-crossing drops require an explicit confirmation and cannot exceed configured per-job or per-project limits.,client/src/components/SequenceEditorWorkspace.tsx and server import routes — no preflight contract,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/client/src/components/SequenceEditorWorkspace.tsx,Full Stack,G2 — Playback/import architecture,L,IMP-003,UAT-DROP-024,Not Started,0,,,User QA plan,
IMP-024,IMP-024,Sequence / Folder Drop,P2,Conditional,Reliability / Test,Validation/test gap,Yes,Yes,"Define supported traversal semantics, skip or reject unsafe entries deterministically, cap depth/path length, and include every omission in the import report","Empty folders, hidden/system files, unreadable subfolders, symbolic links, circular references, and extreme path lengths have no declared product policy or regression coverage. Cross-OS folder trees can hang, omit content, or generate unexplained partial imports.","Define supported traversal semantics, skip or reject unsafe entries deterministically, cap depth/path length, and include every omission in the import report.",All edge fixtures finish without infinite traversal; skipped entries are counted and explained; no path escapes the selected tree or project root.,Folder traversal implementation and current test inventory,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack + QA,G2 — Playback/import architecture,L,,UAT-DROP-023,Not Started,0,,,User QA plan,
IMP-025,IMP-025,Sequence / Folder Drop,P2,Conditional,Architecture,Architecture/recovery gap,Yes,Yes,"Persist import jobs with stable IDs, stage/terminal states, progress reconciliation, and safe retry/resume semantics","Folder imports are not modeled as durable resumable jobs that survive refresh or application restart. A browser refresh, app restart, or transient service failure can leave users unable to reconcile what completed and what did not.","Persist import jobs with stable IDs, stage/terminal states, progress reconciliation, and safe retry/resume semantics.","Refreshing or restarting during a large import restores the same job, exact per-file results, and valid retry/cancel controls.",Current client-local import loop and per-request server registration,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Backend + Frontend,G2 — Playback/import architecture,XL,"IMP-003,IMP-005,IMP-013",UAT-DROP-028,Not Started,0,,,User QA plan,
IMP-021,IMP-021,Sequence / Folder Drop / Security,P2,Conditional,Security / Reliability,Confirmed validation gap,Yes,Yes,"Validate content type and media signature server-side, reject mismatches before permanent registration, and log the original name plus detected type","Media acceptance is driven primarily by filename extension; no explicit content-signature/MIME validation is present before probing and storage. Renamed or malformed files can enter expensive decoders, create confusing failures, or broaden the attack surface of local media tooling.","Validate content type and media signature server-side, reject mismatches before permanent registration, and log the original name plus detected type.",Files whose extension and detected content disagree are rejected safely with a precise reason; valid fixtures for every supported type still import.,client extension filters; server/sequence-editor.js import extension checks,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/server/sequence-editor.js,Backend + Security,G2 — Playback/import architecture,M,,UAT-DROP-025,Not Started,0,,,User QA plan,
SEQ-PROBE-001,SEQ-PROBE-001,Sequence / Media Probe,P2,Conditional,Sequence / Media Engine,Confirmed concurrency defect,Yes,No,Track a set/count of active probes and aggregate result state,Retry-all starts multiple probes while sharing one global probing boolean; the first completion can clear busy state while others remain active. The UI can enable conflicting actions and falsely appear finished.,Track a set/count of active probes and aggregate result state.,Busy state remains true until the final concurrent probe settles.,SequenceEditorWorkspace retry-all/probeMedia state,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,M,,UAT-TAKE-008,Not Started,0,,,Existing 74-item source audit,
SEQ-PROBE-002,SEQ-PROBE-002,Sequence / Media Probe,P2,Conditional,Sequence / Media Engine,Confirmed retry-state weakness,Yes,No,Use bounded retry/backoff and expose failure state,Failed auto-probes are retained in a ref and are not automatically retried during the same mount. Transient probe failures remain stale until manual intervention or remount.,Use bounded retry/backoff and expose failure state.,A transient first failure retries deterministically and settles visibly.,SequenceEditorWorkspace auto-probe ref logic,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,M,,UAT-PLAY-007,Not Started,0,,,Existing 74-item source audit,
SEQ-PLAY-003,SEQ-PLAY-003,Sequence / Playback,P2,Conditional,Sequence / Media Engine,Confirmed missing state,Yes,No,Add a clear state overlay and retry/relink action,"No visible buffering, waiting, stalled, seeking, or decode-error state exists in the program monitor. Users cannot distinguish a paused transport, a broken source, and a temporary media stall.",Add a clear state overlay and retry/relink action.,Each media state has distinct text/icon treatment and screen-reader announcement.,SequenceEditorWorkspace program monitor event/state handling,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Media Engine + Frontend,G2 — Playback/import architecture,M,SEQ-PLAY-001,"UAT-PLAY-002,UAT-PLAY-007,UAT-PLAY-008",Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Buffering/seeking/stalled overlay
SEQ-PLAY-004,SEQ-PLAY-004,Sequence / Playback,P2,Conditional,Sequence / Media Engine,Confirmed error-handling defect,Yes,No,Surface actionable errors with source/track context,HTMLMediaElement.play() rejections and auxiliary-audio playback errors are swallowed or reduced to silently stopping playback. Autoplay/device/codec errors appear as random transport failure.,Surface actionable errors with source/track context.,A forced play rejection produces a persistent error and recovery path.,SequenceEditorWorkspace play().catch handlers,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Media Engine + Frontend,G2 — Playback/import architecture,M,SEQ-PLAY-001,UAT-PLAY-006,Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: play() rejection is visible
SEQ-PLAY-005,SEQ-PLAY-005,Sequence / Playback,P2,Conditional,Sequence / Media Engine,High-confidence synchronization risk,Yes,No,Use one master audio clock and schedule sources against it,Program video and auxiliary audio use separate HTMLMediaElement clocks with relatively loose correction thresholds. Dialogue and effects can audibly drift before correction; corrections can be discontinuous.,Use one master audio clock and schedule sources against it.,A 10-minute mixed timeline remains within 20 ms A/V drift.,SequenceEditorWorkspace media synchronization thresholds,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Media Engine + Frontend,G2 — Playback/import architecture,M,"SEQ-PLAY-001,SEQ-PLAY-002",UAT-PLAY-005,Not Started,0,,,Existing 74-item source audit,
SEQ-PLAY-006,SEQ-PLAY-006,Sequence / Playback,P2,Conditional,Sequence / Media Engine,High-confidence runtime risk,Yes,No,Schedule gain automation on an audio clock,"Audio fades are updated from requestAnimationFrame and will be throttled in background/occluded tabs. Fades can become stepped, delayed, or jump to the wrong level.",Schedule gain automation on an audio clock.,Fade envelopes remain correct after tab backgrounding and restoration.,SequenceEditorWorkspace rAF fade calculations,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Media Engine + Frontend,G2 — Playback/import architecture,M,SEQ-PLAY-001,"UAT-PLAY-003,UAT-PLAY-014",Not Started,0,,,Existing 74-item source audit,
SEQ-PLAY-008,SEQ-PLAY-008,Sequence / Playback,P2,Conditional,Sequence / Media Engine,Architecture limitation,Yes,No,"Use proxy/intraframe media or frame-serving for editorial review, and label precision limits","HTMLMediaElement seeking is not frame-accurate for long-GOP sources, but the UI presents frame/timeline precision. Trim and cut review can show a nearby keyframe rather than the intended frame.","Use proxy/intraframe media or frame-serving for editorial review, and label precision limits.",A frame-index fixture lands on the expected frame at each tested cut.,Sequence editor direct source seeking architecture,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Media Engine + Frontend,G2 — Playback/import architecture,M,SEQ-PLAY-002,UAT-PLAY-009,Not Started,0,,,Existing 74-item source audit,
SEQ-PLAY-009,SEQ-PLAY-009,Sequence / Playback,P2,Conditional,Sequence / Media Engine,Confirmed UI-state ambiguity,Yes,No,Separate program transport from solo/audition controls and label both,Track play controls visually mirror global program playback rather than clearly representing lane-specific audition state. Users cannot tell what will play or which control owns transport.,Separate program transport from solo/audition controls and label both.,"Control state remains unambiguous in mute, solo, locked, and program-play combinations.",SequenceEditorWorkspace audio track control rendering,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Media Engine + Frontend,G2 — Playback/import architecture,M,,UAT-PLAY-011,Not Started,0,,,Existing 74-item source audit,
SEQ-PLAY-010,SEQ-PLAY-010,Sequence / Playback,P2,Conditional,Sequence / Media Engine,Confirmed missing seam handling,Yes,No,Prepare the next source before the seam and expose a degraded-preview mode when impossible,No explicit cut-preroll or seam-readiness logic is present. The viewer discovers decode latency at the cut rather than before it.,Prepare the next source before the seam and expose a degraded-preview mode when impossible.,Cut readiness is established before the seam for supported media.,SequenceEditorWorkspace current/next clip handling,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Media Engine + Frontend,G2 — Playback/import architecture,M,SEQ-PLAY-002,UAT-PLAY-001,In Progress,50,,,Existing 74-item source audit,Implemented 2026-08-22: Next source preloads before seam
SEQ-STATE-002,SEQ-STATE-002,Sequence / Playback,P2,Conditional,Reliability,Runtime recovery gap,Yes,Yes,"Listen for lifecycle/device changes, pause or rebuild the media graph safely, and provide a clear resume action","System sleep/wake, audio-device changes, and long application suspension have no explicit transport resynchronization policy. The preview can resume with stale clocks, duplicated audio, or an incorrect play state.","Listen for lifecycle/device changes, pause or rebuild the media graph safely, and provide a clear resume action.","After sleep/wake and device change, the editor reports the correct state and resumes only from a synchronized position.",Playback architecture and current test inventory,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Media Engine,G2 — Playback/import architecture,L,,UAT-PLAY-022,Not Started,0,,,User QA plan,
IMP-008,IMP-008,Sequence / Timeline Drop,P2,Conditional,Import / Reliability,Mental-model mismatch,Yes,No,Either insert at the drop location or restrict import drop affordance to the bin and label it,Dropping media onto the timeline imports it to the bin rather than inserting it at the drop time/track. The drop target visually promises an edit operation but performs a library operation.,Either insert at the drop location or restrict import drop affordance to the bin and label it.,The result matches the visible drop target and preview indicator.,Timeline onDrop wired to folder/media import,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Frontend + Product,G2 — Playback/import architecture,M,,UAT-DROP-011,In Progress,40,,,Existing 74-item source audit,Implemented 2026-08-22: Timeline drop labeled as import-to-bin; insert-at-playhead not implemented
IMP-012,IMP-012,Sequence / Folder Drop,P3,No,Import / Reliability,Workflow friction,Yes,No,Add a recent-import group and optional selection,Newly imported media is not automatically selected or grouped as a recent import. Users must search for the result in a potentially large bin.,Add a recent-import group and optional selection.,The imported set is reachable in one action.,Import completion behavior,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,M,,UAT-DROP-017,Not Started,0,,,Existing 74-item source audit,
IMP-017,IMP-017,Sequence / Folder Drop,P3,No,Performance,Operational scalability risk,Yes,No,"Add storage usage, duplicate cleanup, and orphan management",Repeated imports can grow both disk copies and imports metadata without cleanup/retention tools. Projects accumulate difficult-to-manage storage and metadata debt.,"Add storage usage, duplicate cleanup, and orphan management.",Users can identify and safely remove unused imported copies.,Copy-on-import and document imports model,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,S,,UAT-DROP-020,Not Started,0,,,Existing 74-item source audit,
COMFY-007,COMFY-007,Comfy Picker,P2,Conditional,Performance,Scalability/usability weakness,Yes,No,Use a searchable command/menu picker grouped by source/category with recent/favorites,"A flat native select is used for a recursive workflow library with no search, grouping, source filter, favorites, or virtualization. Discovery degrades quickly as the local library grows.",Use a searchable command/menu picker grouped by source/category with recent/favorites.,"A 5,000-workflow fixture can be found by name/path/model in a few keystrokes.",Comfy picker select rendering,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G3 — Workflow efficiency & declutter,L,COMFY-001,"UAT-COMFY-010,UAT-COMFY-022",Not Started,0,,,Existing 74-item source audit,
COMFY-022,COMFY-022,Comfy Picker / Information Architecture,P2,Conditional,UX Redesign,Missing details surface,Yes,Yes,"Add a right-side workflow details drawer and keep the permanent toolbar limited to selection, verified loaded state, and the primary action","The picker lacks a dedicated details view for source, canonical ID, path, hash/version, readiness, required nodes/models, modified time, and compatibility. Users cannot confidently distinguish similar workflows or diagnose why one cannot run.","Add a right-side workflow details drawer and keep the permanent toolbar limited to selection, verified loaded state, and the primary action.",Selecting a workflow reveals complete provenance and dependency diagnostics without crowding the main canvas; drawer focus/dismiss behavior passes accessibility checks.,Current Comfy toolbar and workflow option metadata,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Product/UX + Frontend,G3 — Workflow efficiency & declutter,L,"COMFY-020,UX-DECLUTTER-003",UAT-COMFY-026,Not Started,0,,,User QA plan,
UX-DECLUTTER-003,UX-DECLUTTER-003,Comfy Picker / Information Architecture,P2,Conditional,UX Redesign / Product Decision,UX redesign target with scope correction,Yes,Yes,"For the current workflow picker, use a searchable grouped command/list surface with one verified loaded state, one primary action, filters in a popover, and provenance/dependencies in a right drawer","The user proposal describes a thumbnail asset gallery, but the current `17234f7` control is a workflow picker. Treating gallery requirements as current defects would mis-scope the release. Without a clarified model, the team could build an expensive asset browser where a scalable workflow command picker is actually needed.","For the current workflow picker, use a searchable grouped command/list surface with one verified loaded state, one primary action, filters in a popover, and provenance/dependencies in a right drawer. Create a separate product epic if a thumbnail asset gallery is desired.",The current picker scales and remains quiet without pretending to be an asset gallery; any gallery initiative has a separate approved scope and data contract.,User decluttering pass versus current ComfyUIWorkspace implementation,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Product/UX + Comfy Integration,G3 — Workflow efficiency & declutter,L,"SCOPE-003,COMFY-007,COMFY-022,UX-CONTAINER-001",UAT-UX-003,Not Started,0,,,Decluttering pass,
COMFY-009,COMFY-009,Comfy Picker / Server,P2,Conditional,Comfy Integration,Confirmed performance risk,Yes,No,"Index asynchronously, cache metadata/hash, and invalidate on filesystem changes",The server recursively scans the workflow tree and reads graph JSON synchronously on request. Large local libraries/graphs can block the Node event loop and slow unrelated UI/API activity.,"Index asynchronously, cache metadata/hash, and invalidate on filesystem changes.",Picker list/graph requests do not create observable event-loop stalls on a large library.,server/aaa-workflow.js listWorkflows/readWorkflowGraph,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/server/aaa-workflow.js,Backend + Comfy Integration,G3 — Workflow efficiency & declutter,L,COMFY-003,"UAT-COMFY-019,UAT-COMFY-023",Not Started,0,,,Existing 74-item source audit,
UX-DECLUTTER-002,UX-DECLUTTER-002,Folder Drop / Information Architecture,P2,Conditional,UX Redesign,UX redesign target,Yes,Yes,"Keep a minimal drop target; move import options to a gear popover/drawer, progress/cancel to a non-blocking bottom sheet or floating job card, and complete/partial results to an expandable summary with View imported and Retry failed","Import configuration, progress, and result information need clear homes without permanently crowding the drop target. A clean drop surface can become ambiguous if secondary controls are simply removed rather than progressively disclosed.","Keep a minimal drop target; move import options to a gear popover/drawer, progress/cancel to a non-blocking bottom sheet or floating job card, and complete/partial results to an expandable summary with View imported and Retry failed.","Idle, valid, invalid, scanning, importing, partial, complete, cancelled, and failed states are distinct while the main editor remains usable.",User decluttering pass and folder-import findings,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Product/UX + Frontend,G3 — Workflow efficiency & declutter,L,"IMP-001,IMP-005,IMP-019,UX-CONTAINER-001",UAT-UX-002,Not Started,0,,,Decluttering pass,
UX-CONTAINER-003,UX-CONTAINER-003,Responsive Containers,P2,Conditional,Responsive UX,Responsive UX requirement,Yes,Yes,"Define workstation breakpoints: side drawer on wide desktop, full-height overlay/docked panel on constrained desktop, and bottom sheet only for approved touch/tablet targets","Drawer, modal, popover, and sheet behavior is not specified across low-height desktop, split-screen, high zoom, and possible touch layouts. A decluttering pass can still hide controls off-screen or create nested scrolling if containers do not adapt deliberately.","Define workstation breakpoints: side drawer on wide desktop, full-height overlay/docked panel on constrained desktop, and bottom sheet only for approved touch/tablet targets.","Containers remain dismissible and fully usable at supported resolutions, 150% Windows scaling, and 400% zoom without clipping essential actions.",User decluttering pass and responsive findings,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Product/UX + Frontend,G3 — Workflow efficiency & declutter,L,"A11Y-005,A11Y-011,UX-CONTAINER-001",UAT-UX-006,Not Started,0,,,Decluttering pass,
IMP-019,IMP-019,Sequence / Folder Drop,P2,Conditional,UX Defect,Confirmed UX state gap,Yes,Yes,"Add one coordinated drag-state model with valid/invalid styling, nested target ownership, current destination text, and guaranteed cleanup on leave, Escape, drop, and error","Drop targets do not expose clear drag-enter, valid, invalid, nested-target priority, or drag-leave cleanup states. Users cannot confidently predict where media will land, whether a payload is accepted, or why a drop was rejected.","Add one coordinated drag-state model with valid/invalid styling, nested target ownership, current destination text, and guaranteed cleanup on leave, Escape, drop, and error.","Library, timeline, and track targets show mutually exclusive destination states; invalid payloads are obvious; no highlight remains after cancel or failure.",client/src/components/SequenceEditorWorkspace.tsx — drop target handlers and rendered states,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/client/src/components/SequenceEditorWorkspace.tsx,Frontend + UX,G3 — Workflow efficiency & declutter,M,,UAT-DROP-021,Not Started,0,,,User QA plan,
IMP-022,IMP-022,Sequence / Folder Drop,P2,Conditional,Enhancement / Recovery,Missing user-control capability,Yes,Yes,"Record every import as a reversible job and provide Undo import with dependency checks, safe file cleanup, and a review step when media has already been placed in the timeline","There is no single undo action for an entire folder import, including copied files and registered metadata. A mistaken drop requires manual cleanup and can leave duplicate or unused project media.","Record every import as a reversible job and provide Undo import with dependency checks, safe file cleanup, and a review step when media has already been placed in the timeline.","Undo removes only files/records created by that job, preserves referenced media unless confirmed, and is itself auditable.",Folder import completion flow and document import model,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G3 — Workflow efficiency & declutter,L,"IMP-025,IMP-010",UAT-DROP-026,Not Started,0,,,User QA plan,
SEQ-BIN-001,SEQ-BIN-001,Sequence / Media Bin,P2,Conditional,Sequence / Media Engine,Confirmed state-consistency defect,Yes,No,"Clear, preserve with an explicit hidden-selection banner, or reveal the selected item",Changing a filter can leave the source monitor showing an item no longer visible in the bin. Selection and visible collection disagree.,"Clear, preserve with an explicit hidden-selection banner, or reveal the selected item.",A hidden selection is never presented as though it belongs to the current filtered set.,selectedMedia derives from all media while visibleMedia is filtered,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Frontend,G3 — Workflow efficiency & declutter,M,,UAT-TAKE-006,Not Started,0,,,Existing 74-item source audit,
SEQ-BIN-002,SEQ-BIN-002,Sequence / Media Bin,P2,Conditional,Performance,Scalability risk,Yes,No,Virtualize rows and stabilize item keys/heights,The media/take list renders without virtualization. Large takes libraries and repeated folder imports can make scrolling and interaction sluggish.,Virtualize rows and stabilize item keys/heights.,"A 10,000-item fixture scrolls and filters responsively.",SequenceEditorWorkspace visibleMedia map rendering,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Frontend,G3 — Workflow efficiency & declutter,L,,"UAT-TAKE-001,UAT-COMFY-010",Not Started,0,,,Existing 74-item source audit,
TAKE-002,TAKE-002,Sequence / Takes,P2,Conditional,Takes / UX,Confirmed missing primary action,Yes,No,Add a primary replace action with target segment/timeline confirmation,"There is no direct, explicit 'Replace selected timeline clip with selected take' action. A common editorial task requires indirect context and is easy to perform against the wrong target.",Add a primary replace action with target segment/timeline confirmation.,One keyboard-accessible action swaps the selected clip and preserves trim policy predictably.,Sequence editor take and timeline action surface,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Product + Frontend,G3 — Workflow efficiency & declutter,M,,UAT-TAKE-004,Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Replace selected clip with take + undo via existing commit
TAKE-003,TAKE-003,Sequence / Takes,P2,Conditional,Takes / UX,Confirmed missing comparison workflow,Yes,No,Add segment-scoped cycling and compare modes,"No previous/next take cycling, A/B compare, side-by-side compare, or keyboard audition exists. Reviewing many generations is slow and cognitively expensive.",Add segment-scoped cycling and compare modes.,A reviewer can audition all takes for one segment without moving pointer focus.,Sequence editor take controls,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Product + Frontend,G3 — Workflow efficiency & declutter,L,,"UAT-TAKE-005,UAT-TAKE-009",Not Started,0,,,Existing 74-item source audit,
TAKE-004,TAKE-004,Sequence / Takes,P2,Conditional,Takes / UX,Confirmed filter leakage,Yes,No,Make unassigned media an explicit separate group/filter,"When a segment is scoped, media with no segment ID can remain visible. Unregistered folder imports pollute a segment-focused take review.",Make unassigned media an explicit separate group/filter.,Segment scope contains only that segment unless 'Include unassigned' is enabled.,SequenceEditorWorkspace visibleMedia segment predicate,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Product + Frontend,G3 — Workflow efficiency & declutter,L,,UAT-TAKE-007,Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Unassigned excluded from segment scope unless includeUnassigned
TAKE-010,TAKE-010,Sequence / Takes,P2,Conditional,Reliability / Product,Persistence requirement,Yes,Yes,Define project-persistent versus user-local state and restore it deterministically with migration/version handling,"The full take review state—active take, selection, compare state, metadata, and ordering—has no explicit persistence contract across reload/restart. Users can lose review context or see a different active candidate after reopening the project.",Define project-persistent versus user-local state and restore it deterministically with migration/version handling.,Reload and application restart restore the documented take state without changing the underlying sequence unexpectedly.,Current component-local take/filter state and proposed take capabilities,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Frontend + Backend,G3 — Workflow efficiency & declutter,M,TAKE-007,UAT-TAKE-014,Not Started,0,,,User QA plan,
